ulasan,label
"saya biasanya soal makanan lebih sering order lewat online nah saya mencoba order lewat go food tidak pernah mendapatkan penganlaman yang baik, contoh driver selalu cemberut, eksprewi wajah seperti orang yang menantang, yang kedua beberapa kali saya order dengan pembayan tunai pasti mereka tidak punya kembalian padahal mereka tanpa mengecek dompet atau saku nya. karna kembalianya itu lumayan kadang Rp. 2700, Rp.4000, bahkan pernah hampir 7 ribu.",2
"Saya sudah lama pakai aplikasi gojek. Kurang lebih seminggu bisa 3x ada transaksi baik gofood/goride/gocar. Sebulan terakhir aplikasi gojek saya tidak ada lagi promo. Setelah saya hubungi CS, mereka sampaikan kalau akun saya diblokir karena melakukan pelanggaran promo, jadi aplikasi saya diberi sanksi, yaitu dihilangkan semua promonya. Saya tidak pernah melakukan pelanggaran. Saya tanyakan apa pelanggarannya, tidak pernah ada jawaban. Aneh banget!!!",1
"pas butuh malah nggak bisa di setting lokasi, udah pake map tinggal ngikut settingan map yang kita pilih malah pake ada kata kata lokasi tidak bisa di setting..gilaaakk maunya apasih suruh setting sendiri malah kagak bisaa lah gmna mo pesen coba???",1
saran saya ini kan aplikasi banyak digunakan jadi tolong untuk ongkos pengiriman dan juga ongkos perjalanan disesuaikan..... masa iya aplikasi sebesar ini menyamakan ongkos pengiriman dengan harga barang yang dibeli.... dan juga apabila pengguna baru apalagi daerah rumah belum termasuk kota besar jangan coba langganan go-jek plus karena nggak akan ada gunanya awal nya Saya mau mencoba tapi setelah di coba tidak ada fungsi nya Saya cukup kecewa dengan go-jek plus.....,1
"udah di download ga bisa padahal di situ ada keterangan via SMS Ama WhatsApp, setelah di masukin otp ga bisa padahal no masih sama,buat apa ada pilihan otp via SMS atau wa tolol ngabisin quota aja buat download, kalau ga bisa mending hapus aplikasi nya",1
"tanpa sebab atau alasan..paylater di blokir.. pinjaman bayar tempat waktu limitnya dari puluhan juta jadi 1juta.. aplikasi apa ni.. wkt pertama ksh limit besar..udh dapat bunga dari pinjaman,setelah lunas di bayar limit jadi 1jt.. gk jelas aplikasi ni.. pantasan banyak yg kasih bintang 1..",1
"aplikasi ampas, ngasih driver jauh trus driver minta cancel, dan akun tiba-tiba dibekukan karena kebanyakan cancel. Siapa juga yang mau cancel, makanya ngasih driver tuh yang Deket😮‍💨",1
"fitur batalkan pesanan gk berguna, gimanasih kalo misal kesalah pencet order, terus pengen batal tapi malah gk bisa belum juga 3 detik mau pencet batalkan pesanan, malah gk bisa, seenggaknya kalo misalkan pesanan gk bisa dibatalin voucher yang tertinggal bisa dipakelah atau tambahin verifikasi 2 langkah supaya gk ada kejadian kek gini, tolong ditambahkan verifikasi fitur verifikasi sebelum pemesanan",1
"kenapa yang nganterin makanan gitu kadang ga punya kembalian sih? seenggaknya ada 10 ribuan kek atau 5 ribuan, atau engga 2 ribuan, ini kayaknya sepeser pun ga ada.. kesel harus nyari recehan terus kalau pelanggan lagi ga ada recehan.. maaf tolong diperhatikan lagi ya",3
sering suruh nunggu lama untuk gofood. padahal aplikasi tidak bisa mencarikan driver. Bahkan sudah nunggu berjam-jam tiba-tiba transaksi batal. Sudah terjadi berkali-kali,1
"dear gojek kalo memang pengantaran expres kalian lebih sering telat mending gak usah di buat pilihan expres nya orang"" memilih expres dan penambahan biaya agar makan dapat segera di nikmati nyatanya keseringan telat saya akan tetap membiarkan review ini agak kalian dapat melakukan perbaikan 👎👎👎",2
Tolong di perbaiki bug nya.. Soal nya saya baru mendaftar tapi tidak bisa masuk dengan alasan di suruh update ke versi terbaru padahal saya baru saja download gojek.. Sudah saya tunggu 2 jam lebih karna saya kira lagi maintenance tapi tetap tidak bisa dan sudah saya install ulang tapi tetap saja di suruh ke update ke versi terbaru,1
"gojek nih kebiasaan, voucher goride pasti abis mulu, percuma ngadain promo pakw voucher2 tapi setiap mau klaim udah abis mulu, ga jelas, ga niat banget sih !!!! klo niat ngasih voucher bikin voucher yang banyak, jadi ga keabisan mulu klo pelanggan mau klaim, pelit banget heran gw !",1
"Driver gocarnya sekarang banyak yang sombong, disuruh jemput di basement gak ngerti ngerti. Sudah banyak pemain pula, pesan prioritas tapi gak jalan jalan di map, ditungguin lama gak datang datang.",1
"pertama kali pake, aplikasinya sih oke tapi driver nya itu loh,aku udah nunggu 30menit lebih tapi ga smpe² pdhl katanya tinggal 4 menit jadi ga berangkat sekolah aku gara² telat lama. di peta juga drivernya ga gerak,gatau itu aplikasi apa emg drivernya.sebel bgt",2
aneh saya salah satu pengguna terpilih yang bisa mencicil gopay later tp saat mau mencicil buat bulan depan fitur itu tiba2 hilang saya belanja banyak2 karna saya fikir bisa di cicil ternyata ga bisa mohon perbaikan nya,1
"saya merupakan pengguna fitur Gopay Pinjam. 2x pembayaran lancar dan bulan ini, jatuh tempo yang ke3, dikarenakan ada kendala keuangan memang saya masih blm bisa membayar sesuai tagihan. Namun saat saya ditelepon berulang kali di WA dan saya menjelaskan kondisi keuangan yg memang tdk baik, petugas menyampaikan dg nada mengancam bahwa semua data pribadi saya dan foto akan disebar ke seluruh kontak. Nada petugas sangat mengintimidasi dan mengancam. Apa memang benar petugas penagihan seperti itu ?",1
pesanan gomart ada item yang tidak ada. langsung dikurangin di harga. kemudian promo langsung tidak terpasang. tidak ada d infokan promo gratis ongkirnya bakalan hilang. telpon ke gojek JKT jg TDK ad penyelesaian. padahal dari toko yang tidak ada produknya.,1
"gopay laternya sekarang tdk bisa di buat listrik pascabayar. gak guna sama sekali sekarang masukin nomer meter pln tdk bisa. disuruh cek terus. padahal sudah benar"" gk guna. unistal saja pindah ke aplikasi sebelah.. lebih untung",1
"suka sama aplikasi nya karna memudahkan kalau mau kemana""tapi disayangkan kalau pesan makan nunggu bisa sampe 1jam an dan kalau ga dapat driver pesanan dibatalkan otomatiss,jadii hampa bgtt nunggu lama tp makanan ga dateng",2
"kalo gofood selaluuuuuuuuuuu telat, ga bisa on time. pdhl belinya d luar rush hour. culasnya, kalo udah kira2 telat, timer di applikasi ttg nrp menit lagi shrusnya pesenan dtg langsung diem. ga jalan lg timernya, hilih",3
"saya sudah lama menggunakan gojek, awalnya lancar aja. Pesanan selalu datang tepat waktu. Tapi hari ini hampir satu jam makanannya baru sampai, padahal biasanya 5 menit sudah sampai. Alasannya rantai motor putus. Pertanyaan saya, apakah tidak ada aturan khusus dari perusahaan, agar yang bekerja pakai apk gojek tidak ambil orderan, jika memang ada kendala ?! Ini demi kenyamanan semua pihak pengguna. Thanks 🙏",4
"mohon untuk aplikator, sistem nya bisa di rubah gak? untuk akun gojek customer agar biodata profil itu di bagian namanya harus sama seperti sesuai KTP, ini karena marak nya terjadi orderan fiktif, jika memang bisa di upayakan dgn nama yang sesuai KTP, setidaknya itu bisa mencegah terjadinya orderan2 fiktif, karena sekarang sudah sangat banyak terjadi fiktif, agar driver2 kalian juga merasa nyaman dgn kebijakan baru kalian jika bisa merubah sistem tsb.",4
"teruntuk para driver GoCar kalo emg ngga bisa anterin penumpang ke tujuan jangan diambil orderannya kalo emg lokasinya jauh sama orderan ya jangan diambil!! sampe akun hampir ke blokir gara"" driver pada ngga bisa anterin alesan lokasi jauh lah, tolong bgt kalo emg g bisa anterin penumpang jangan diambil orderannya!!! dan kalo mau cancel ya cancel dari drivernya!!!",1
Ini parah banget Gocar bandara di Bandar lampung.. tari awal 211.000 ada promo voucher jadi 176.000 pas nyamperin mbak2 petugas pickup nya untuk masukin kode disuruh nunggu.. udh nunggu di samperin lagi katanya zona pengantaran ga update dengan tarif nya.. tarif awal sebelom diskon 211.000 ini setelah diskon 176.000 disuruh nambah diluar aplikasi 90.000 lagi.jadi total bayar 276.000. yang ada harga nya lebih mahal dari sebelum menggunakan diskon .. gila Ga bagus Banget ini paraaahhhhhh,1
"tolong ya di perkaiki,g enak bgt tiap mau byr paylater slalu g bsa kebuka ,heh sengaja banget aplikasi supaya pada tat byar ya jd kena denda krn pas di buka pay later pasti g kehubung sllu bgtu dan prnah nnya ke mas gojek knp gni ,jawabnnya ya emang tiap awal bln sllu gt gila lah kecewa bgt sama sistemnya yang lemot ketika buka diawal bln jd buat g bsa byar tpt wktu",1
"jarang banget ada promo, dan maps gojek nya sering bgt ga bisa tepat di titik jadi harus jelasin dlu ke driver untuk rute nya. gimana si gojek, bukan nya mempermudah customer jadi sering ngecewain customer",2
"Kecewa banget, Ga sengaja ke tekan, ga bisa batalin pesan. Padahal hanya 5 detik. Sial banget sama Gojek.. padahal dikasih pilihan mau batalin apa tidak. Ga bisa di klik juga. Pokoknya kecewa banget. Padahal dari dulu sering pakai dan jadi mitra setia. Habis kali ini usaha banget, ga akan pakai Gojek.. selama masih ada pilihan bisa digunain. Padahal jasa mereka juga paling mahal dari jenis yang sama. 'Bantuan' yg anda maksud tidak membantu sama sekali, yg ada nanti tetap saya pihak di rugikan.",1
"makanan yg dipesan berbeda dengan yg datang mohon diperiksa kembali kapabilitas resto yg terdaftar...ditambah di aplikasi susah atau bisa dikatakan chatting ke apk memakai AI jadi, tidak bisa mendeskripsikan masalah secara akurat, bahkan pemberian rating resto seperti nya bermasalah karena tidak bisa diakses secara langsung.....",1
"kok bisa rate di gopay saya rendah? padahal tidak ada masalah apapun dgn driver mungkin karena saya sering membatalkan driver yang lama nyampenya, yg gak gerak² padahal udah nungguin sesuai waktu yg di tentukan aplikasi tapi drivernya gak gerak² juga, trus giliran saya batalin dia malah nge rate rendah, kalo bisa kita juga harus bisa ngasih rate ke driver kalo drivernya gak gerak²",1
"driver trlalu byk minta cancel karena kejauhan katanya. Tambahan sudah beberapa kali driver cancel tanpa berkata apa2 padahal sudah nunggu lama.. Mngkin d tambah history di aplikasi costumer untuk orderan yg d cancel oleh driver jg,, biar bisa d report klo memang driver sprti prilaku yg d atas..",1
"untuk gojek, kenapa setiap pesan selalu dikasih driver yg jauh, padahal disekitar area saya pesan banyak banget gojek yg mangkal, JD lama nunggu, kadang sampai 10 menit, dan ujung2nya sama driver dicancel, mohon perbaiki lagi, alangkah lebih bijak kl kasih driver yang ada disekitar pemesan jadi ga kelamaan nunggu",3
"Lagi banyak promo, ongkir mahal. Langganan plus, biar dapat diskon ongkir. Udah langganan plus, promo malah pada ngilang. Cek akun gojek temen yang ngga langganan plus, promo masih banyak. Jangan gitu lah bang, sini loyal langganan plus malah gadikasih promo. Makan nih! 🫸🏼🌀 Rasengan!",1
"tolong di perbaiki atau d beri sangsi ka untuk driver yg mandang harga , saya pesan go car sudah 2jam dan sudah 5x di saat hujan dengan anak saya yg masih bayi tidak pernah ada yg ngambil, sangat mngecewakan",1
"Sudah pesen 2 kali dan nunggu berjam-jam tidak bisa dicancel, setelah nunggu lama banget gojek baru tercancel secara otomatis tanpa bisa konfirmasi ke cs melalui aplikasi nya aplikasi gojek saya tiba2 dibatasi krn terindikasi melanggar atau indikasi ada aktivitas tidak wajar, padahal tidak melakukan apapun.. aplikasi lama2 gak jelas",1
"suka ngelag gitu, baru kemarin pesen gojek tb tb malah ngehang sendiri dari apk nya kan saya jadi kebingungan itu beneran udah dapet gojek apa belum. Kalo udah terus ternyata gojeknya dateng tapi saya ga jadi gimana? yang rugi juga saya!",3
"aplikasi ga jelas, sering banget gofood udh nunggu lama (1 jam lebih) tiba2 ke cancle dengan berbagai alasan, entah yg ga dapat driver lah, restonya tiba2 tutup lah, dan masih banyak berbagai alasan yg tidak bisa di wajar kan. mohon segera diperbaiki😵‍💫",1
"Habis pesan makanan datang telat. Abis itu tarif perjalanan ke stasiun yg biasanya cuma 15k naik jadi 24rb. Aplikasi peak, bikin kesel. Abis telat cuma minta maaf pake voucher yg ntah bakal dipake apa nggak, malah pelanggan dikerjain lagi 😩",1
"setelah ypdate kenapa semua alamat tersimpan bagian gosend dsb lenyap ya? history masih ada tapi alamat tersimpan ngga ada semua, satupun ngga ada. dan mau nyimpan ulang alamat juga ngga bisa, tulisannya perbaikan server..",2
"Benar2 membantu. Cuma kadang2 apk-nya suka error, padahal pencarian buat memesan sudah di batalkan tapi kadang2 ada driver yang menerima pesanannya dan harus di batalkan pesenannya. Saya nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.",5
"Di menu gofood dulunya ada filter untuk meng urut kan resto dari yang paling dekat. Sekarang tidak ada fitur itu lagi, suka bingung milihnya. Kadang pilihan yang teratas itu bisa di 3km. Sedangkan yang paling dekat bisa di bawah bawah munculnya.",4
"Kalau ketentuan untuk semua Gocar, bisa diterapkan kyk peraturan Bluebird,kurang lebih atau bahkan bisa jauh lebih bagus, Mulai dari Driver nya Diseleksi Lebih baik, Dari Ketentuan dan Keamanan Kaca Kendaraan lebih baik, tidak boleh Gelap, Kebersihan Dan keterawatan kendaraan dan sebagainya, Sampai saat ini setiap kali pakai gocar masih kadang dapet yang gak worth it dengan harga,amannya dan nyamannya. Kalau bisa di setiap perjalanan pakai gocar bisa selalu nyaman, aman & Hemat+Driver tau jalan",4
saya pengguna gojek uda lama tapi baru sadar di2025 kalo aplikasi ini jelek dan merepotkan kalo lagi bermasalah. padahal gara2 sistemnya dia yg error. cara menangani masalah juga gak sigap banyak alasan ini itu dan gak membantu sama sekali. beda banget sama apk sebelah yg gercep dan gak bertele2!!! bukannya makin maju malah mundur!!!,1
aplikasinya dah bagus tp sya suka kesulitan mendapat Drive gocar Krn jarak tempuhnya dekat 3km dri rumah ke tujuan. seringan di tolak sama drivernya. padahal saya ambil yg comfort bukan yg hemat tetap aja di tolak sampai saya telat ke tujuan gara² sering ditolak,4
buat gofood tolong adain lagi dong fitur cancel nya! ga bisa di cancel karna takut ngerugiin restoran??? skrg restoran mana yg orderan bru msuk trs mknan lgsg jd detik itu jg???? ha? orderan manaaa??? seengganya kasih wktu 5 detik kek buat klo ga sengaja pesen tuh bisa di cancel😠 mana koneksi nya lemot bgt lagi skrg hadehhh,1
"Aplikasi sudah sangat baik, tapi saya kecewa, harusnya pihak gojek punya data riwayat transaksi, dan kelihatan apakah pengguna ada indikasi kesengajaan tidak membayar tagihan atau hanya lupa, dan kenapa WA untuk menagih tidak ke nomor pengguna dahulu tetapi malah ke orang terdekat dan dengan penggunaan bahasa yang kurang enak. Apakah tidah ada pelatihan dahulu untuk tim yang bertugas menagih.. Selama belum ditinjau penilaian tidak akan diganti!!",5
"Gak lagi pake promo GoFood yang diskonnya gede. Di halaman penjual tidak dicantumkan ukurannya/porsinya. Pas datang makanannya ukuran/porsinya (mungkin dikurangin). Misal Roti toast beef teriyaki di harga 25K tapi tidak dicantumkan di resto itu (reguler/kecilnya) Beli lah 6 & kopi 3 dapat diskon, yang datang ukuran toastnya kecil. Ya lumayan sih diskon 35%. Tapi ini tidak berlaku di resto besar yang sudah terkenal ya...",3
"saya sangat kecewa dengan aplikasi gojek, padahal saya sudah pake gojek plus, kejadian dapat driver gojek yg jauh dari lokasi saya sudah berulang kali, padahal didekat situ ada banyak driver yg belum dapat penumpang. puncak kekesalan saya adalah semalam nunggu 40 menit tidak ada . padahal saya sudah pilih gojek comfort, dan saya ga ada masalah sama harga yg penting di jemput dg sesuai estimasi waktu, ini nunggu 40 menit. percuma saya mentoleransi selama ini. handling komplain juga sangat jelek",1
"sumpah aplikasi yang kebanyakan isinya driver sampah. percuma driver punya keterangan bintang 5, tapi suka cancel cust seenaknya dan tanpa penyebab yang pasti rating cust seenaknya. Cust seakan dituntut buat kasih bintang 5 dan tip ke driver tapi apa? para driver seenaknya, udah mana selalu ngeluh dan bagi-bagi data driver digrup mereka buat jadi bahan lelucon!",1
"e wallet nya ga rekomen, pembayaran ribet, dikatain aktivitas mencurigakan padahal kagak ada, aplikasi busuk, bagus di transportasi nya ga buat e wallet apalagi di pembayaran qris😹",1
"Aplikasi bagus dan sangat membantu TAPI !!!! Mungkin bisa diedukasi ke driver, terutama gojek comfort saya bebrapa kali make fitur itu tapi ada suatu kejadian kendaraan yang datang beda dengan yang tertera diaplikasi jujur saya milih fitur gojek comfort biar nyaman tapi kenyataannya kendaraan beda, okelah kalo plat beda model/jenis kendaraannya sama , ini bener bener beda kendaraan, plat juga beda dan bisa dibilang bukan termasuk gojek comfort TOLONG GOJEK ATASI KELUHAN INI",1
"Sekarang jadi mahal sekali, GoFood jadi mahal selisihnya bukan 2-5rb tapi bisa diatas 10rb klo g kepepet banget g beli lewat GoFood, ongkir juga naik drastis bisa 10rb udah naik 10rb tambah ongkir naik 10rb, beli seblak 20rb biaya tambahan 20rb, total 40rb, g wort it jika sama...",3
"GK lagi lagi sumpah, kesalahan terbesar gw percaya dgn ini, gara² gojek gw harus pesen kereta lagi nunggu 12 jam di stasiun karena ketinggalan kereta. mending aplikasi inDrive lebih cepat dan murah. kelemahan aplikasi, lama dapet ojek, sekali dapet di ghosting",1
"aplikasi terpayah yg pernah saya pakai, gak bisa hub CS kalau ada masalah dan parahnya terlambat 1 jam gak bisa di batalkan kasian yg lapar dan drivernya, sangat parah nyesel pakai apk ini, saya gak recommended pake apk ini karena bukannya tambah bagus malah kurang pelayanan dr pihak management, yg JD korban drivernya",1
setelah di update malah makin downgrade menurutku. ga bisa search resto yang masih tutup. kan minimal masih bisa liat menu2nya. balikin aja kaya kemaren. baru kali ini komen di rating krn emng jadi nyusahin.,2
"menu ngebatalin pesanan gofood Ndak ad ya? setidaknya di kasih timeout kek, 15 menit tidak dapat driver bisa cancel makanan yg di pesan. toh juga restoran belum buat, jika pesanan belum dapat driver... nunggu lama, cancel nggak bisa, giliran sudah masak, baru dapat driver. merugikan waktu",1
"Maf sy beri btg 1, spy jdi perhatian. Tuk app btg 5 jika normal. Hanya sja ini 2 pengalaman di hari yg sama, keperluan yg sama, sy kecewa dan app tdk membantu. 1. Gocar, Driver minta Cash, saya pakai gopay, kata Driver sistem pembayaran tdk bisa dirubah. KENAPA Driver sudah tahu butuh Cash tetap ambil orderan gopay. Saya diminta cancel. 2. Gojek, KENAPA tetap ambil orderan tpi ga mau antar krn hujan. Saya diminta cancel Cancel = suspend. Pusat bantuan app, pertanyaan dan jawaban sdh template.",1
"saat hujan sangat susah mendapatkan driver sangat sulit dapat driver di stasiun , padahal sudah aktifkan blue bird, dan taksi blue bird nya parkir berjajar di depan saya🤣 kita pakai ojek online harapannya bisa lebih cepat, tapi jadi percuma jika dipilihkan driver yang jauh dari tempat kita, entahlah...",1
"Makin buruk setelah di perbarui, lokasi sudah aktif tpi pas mau di gunakan, aktifkn lokasi, sampe skrg ga bsa d pake aplikasinya, sngat kecewa sekali..",1
jujurt saya nyesel download apk gojek ini.. sebelum nya pake aplikasi gojek yg ini jga tp selalu mendapatkan promo di ari 10rb-15 tp paling sering 10rb.. tp apk ini ko mahal terusss herann!!!!! tolong donggggg tingkat kan lg promo promonya ..!!!!,1
apk sudah lumayan bagus tapi ada kekurangan yang saya alami berulang ulang.. pada topup saldo sering kendala saldo tidak masuk dan waktu penanganan selama 2 hari.. sebaik nya jgn terlalu lama.. untuk waktu penanganan.. cukup 5 menit atau 10 menit saja...,3
"Dear Gojek. Bisa gak kalau lagi nyangkut sinyal luar negri misal Singapore, tapi saya mau akses menu home untuk urusan selain transportasi. Karena selalu nyangkut di pencarian lokasi meskipun sudah dinonaktifkan lokasinya.",5
diskon dikit. estimasi lama d banding aplikasi lain. apalagi klo driver dapet double order. pesan yg expres juga suka telat. makin sini pesen food estimasi nya makin ngaret jauh banget. mending aplikasi oren ga pernah telat. klo pun telat ya ga lama² amat. klo telat d imingin voucher tp kita harus bayar dulu biar nanti dapet voucher wkwkwk,1
"Bingung, selalu kliru & kadang BATAL order. Soalnya ikon Titik Jemput Arah Panah, ikon Tujuan Titik bulat. >> Seharusnya ikon Titik Jemput itu = Titik Bulat. Dan ikon Tujuan = Arah Panah. Biar mudah dimengerti.",1
"kalo pesen gofood mau bayar cash, susah banget ga dapet"" driver udah gitu gak bisa di cancel. Udah nungguin lama nanti tiba"" sistem yang batalin sendiri, maksud?? kalo emang udah terlambat tuhh harusnya Adain metode cancel, jadi kita ga harus nunggu lama"" cuma buat di PHP in. jelek banget sistemnya.",2
"Jaringan eror parah! Buka aplikasi, pilih lokasi tujuan, aplikasi langsung melakukan pemesanan otomatis. Padahal saya belum mau memesan. Pas di cancel gak bisa. Saya klik ulang alamat tujuan, malah otomatis aplikasi memesan driver lain. Parah, saya harus menjelaskan berkali-kali ke driver. Ternyata di hp driver, orderan saya juga tidak ada. Tolonglah hal seperti ini jangan terulang lagi. Merugikan penumpang dan driver 😠",1
"aku tadi pesen goride, trus ada keterangan ""terjadi sedikit masalah, cobalagi "" lalu saya pncet coba lagi... ternyata pas di cek lagi, pesanan malah jadi dua... terpaksa harus ganti rugi, krna drivernya gak terima saya cancel.... aplikasi payah... merugikan...",1
"kenapa ya, waktu saya sudah pesenan dan sudah dapat Drivernya, dan sudah sampai tujuan itu baik baik saja, waktu mau pembayaran tiba tiba pembayaran diawal dan diakhiri itu berbeda, waktu saya cek ternyata sudah terpesan 2 driver, padahal saya pesanan sekali, itu bukan terjadi sekali saja, tapi sudah kedua hingga ke tiga kalinya, banyak yang bilang kalau itu masalah jaringan / apa, padahal jaringan saja baik baik saja, mohon di perbaiki lebih lanjut lagi ya terimakasih 😃",3
"tarif harga bersaing(lebih ekonomis) karena sekarang ada tambahan pilihan go hemat,namun kadang pesan go car lama dapetnya,dan kalau udah dapat,driver ngga langsung meluncur jemput penumpang,tolong di perbaiki.",4
"aplikasi kikir 😡, pelit bgt ngasih diskon buat pengguna lama. udah langganan juga tapi diskonnya ga berasa. masih gedean diskon bikin akun baru🙄. padahal sering make tapi ga di layani dengan baik. dari dulu kayak begini terus😮‍💨, mending kalian klo mau pakai aplikasi jangka lama pke yang ijo sebelah aja, yg ini tidak rekomen. udahlah onkirnya paling mahal, drivernya susah di cari, diskonnya ga bisa di tumpuk, batalin pesanan sama edit pesanan ga bisa. 👎👎👎👎👎. -∞/10",1
"mau hubungin CSnya susah banget, selalu ke artikel dan pesan otomatis. ga ada kontak yang bisa ditanya, padahal saya cuman mau nanya tentang cara mengubah pesan otomatis yang udah dibikin. tapi susahnya minta ampun untuk hubungi CSnya, nomor yang tertera di internet juga ketika saya hubungi bukan CS gojek.",1
"app nya dah ok, cuma driver nya. khususnya gocar. kalau order tarif dibawah 30rb pasti nyarinya ampe 100 x gak dapet dapet. padahal dah ngalah bela bela ngasih tip yar semangat tetep aje di cancle. mohon lah di perketat lagi regulasi nya, alogaritma nya juga di rev lagi.",3
"mohon diperbaiki lagi aplikasinya, titik tujuan dan alamat yang asli tidak sesuai, saya barusan pergi ke alamat yang saya tuju, akan tetapi berbeda dengan titik tujuan yang ada di aplikasi alhasil saya merasa keberatan karena harus menambah biaya lagi untuk drivernya",1
"Tolong bahasa ""TITIK SUDAH SESUAI..."" d koreksi kembali. ""TITIK SUDAH SESUAI..."" yg akurat hanya berlaku u/ area wifi, d pinggir jalan ga ada wifi bos. ini Indonesia, bukan luar negri.",4
"Untuk sekarang, sudah membaik. Aku ada saran, untuk gofood kalau bisa ketika driver sudah sampai di lokasi pemesan kalau bisa ada notifikasi bel atau bunyi. Sebab kadang-kadang driver tiba2 saja sudah didepan rumah. Padahal di aplikasi driver masih belum mengambil makanan. Untuk internet ku tidak ada masalah, jadi kurasa inj dari Aplikasi.",3
"gojek ini saking murahnya, kalo pas hujan beh beh, boro boro dapet. nyantol 1 aja ditolak. gak pakai mobil gak pakai motor. dua dua nya sama. tolong para elit, kalo bikin promo dipikir, pantes gak sama jarak yang ditempuh sama driver dengan ongkos yg mereka dpt karena promoan. pernah nih mau berangkat ngemall hujan, pesenlah aku gocar. ditolak Mulu. Sampek aku Uda pilih yang paling mahal mentok, tetep ditolak men. bingung harus pilih yg harga mana lagi. bener2 gak bisa diandelin disaat genting",2
"Sudah sebulan lebih paylater saya di blokir hanya karena pembelian pulsa yang tidak di bolehkan , jadi tidak bisa menggunakan lagi untuk belanja juga bayar tagihan ,banyak belanjaan numpuk di keranjang dan gak bisa bayar"",jadi tolong segera aktif in karena ada barang yang segera di beli pakai payleter,makasih .",1
"mau beli paket data, terjadi kendala trus dari pagi sampai siangg, udah nyoba chat cs nya malah di bilang nomer terdeteksi penyalah gunaan apalahh, minggu lalu bisa knpa skrng ga bisa? malah terdeteksi ada penyalahgunaan!!!!",1
"harga makanan di GO-FOOD lebih mahal dari harga beli langsung,, di tambah lagi biaya penanganan dan ongkos nya... gila... mending INDRIVE... harga makanan sama dengan beli langsung, dan ongkir nya jga murah,,, bye bye...",1
