kata	skor
tidak akurat	-4
tidak penting	-1
peringatan merah	-5
kurang fitur	-3
memakan memori	-1
beku	-1
kejam	-4
tidak pasti	-1
berat	-1
tidak adil	-4
penyelesaian sulit	-4
fitur dicabut	-3
tidak berhubungan	-5
crash terus	-5
monoton	-1
tidak etis	-4
kerusakan	-3
tidak signifikan	-1
kadaluarsa	-2
keluar topik	-2
memusingkan	-5
spekulatif	-3
sembarangan	-3
trouble koneksi	-2
tidak terdeteksi	-4
terputus-putus	-3
parah	-5
tidak puas	-3
tidak diizinkan	-2
terkunci	-5
pesan error	-5
tidak efisien	-3
privasi terancam	-3
meremehkan	-3
petaka	-5
belum matang	-1
gelap	-5
tidak bisa diandalkan	-5
menyerah	-1
terlalu kompleks	-3
banyak iklan	-5
memilukan	-5
lapuk	-1
font aneh	-3
tidak efektif	-5
nyebelin	-2
korup	-3
mengenaskan	-2
melenceng	-2
terbuka	-2
suara serak	-1
terpecah	-5
ribet	-2
darurat	-1
error kode	-1
gangguan	-5
tidak jalan	-1
kumuh	-4
penuh bug	-4
usang	-4
tidak tentu	-2
janji palsu	-1
spam	-1
tidak valid	-1
kaku	-1
mudah diserang	-1
menyayat hati	-2
ikon membingungkan	-4
servis buruk	-1
tidak bisa dicari	-2
produk cacat	-4
brutal	-4
petunjuk minim	-1
dukungan buruk	-2
tidak sesuai deskripsi	-4
tidak terencana	-2
murahan	-5
freezing	-1
tidak layak	-2
crash mendadak	-3
penghamburan	-3
lemah	-5
gema	-3
putus	-5
stuck	-5
buram	-2
rusak	-1
tidak jernih	-5
rawan	-3
rendah	-3
terbatas	-3
iklan menyesatkan	-3
menyedihkan	-1
kurang relevan	-5
ancaman	-1
tidak variatif	-5
tidak ada janji	-5
jadul	-2
mengecewakan	-5
tidak cocok	-1
buruk	-5
gagal inisialisasi	-1
mengganggu fokus	-5
berbahaya	-5
tiruan	-3
jelek	-4
outdated	-3
palsu	-3
terganggu	-3
kontras buruk	-1
tidak bisa diakses	-3
tidak estetis	-3
tidak terhubung	-5
banyak masalah	-1
susah diatur	-3
ngadat	-5
tidak stabil	-2
malah mempersulit	-4
tidak teratur	-4
terhenti	-3
berhenti tiba-tiba	-2
tidak sync	-5
tidak siap	-3
boros kuota	-3
tidak fokus	-1
izin kurang	-4
tidak dikenali	-3
ngeri	-2
tampilan kuno	-2
berisiko	-4
tidak konsisten	-1
membosankan	-2
error terus	-3
tidak bisa dibuka	-1
tidak lengkap	-1
tidak ada isinya	-2
lambat	-3
interupsi	-2
negatif	-5
penuh celah	-4
tidak produktif	-4
tidak logis	-4
mahal	-3
pixelated	-2
menyeramkan	-2
bikin marah	-3
tidak bisa diunduh	-1
tidak bisa diubah	-2
tidak menarik	-4
suram	-5
macet	-3
abai	-4
konten minim	-2
tutup	-1
ketidakpercayaan	-2
tidak manusiawi	-2
dibatasi	-2
terblokir	-2
risiko	-1
fitur kosong	-4
paling buruk	-5
tidak lengkap mulu	-1
terputus doang	-1
interupsi doang	-1
pengembang cuek parah	-5
buang-buang uang banget	-4
ricuh parah	-1
bad UX terus	-3
tidak ada respon parah	-4
menipu mulu	-5
penyelesaian sulit fatal	-5
janji palsu banget	-1
tidak stabil bikin emosi	-5
licik dan bikin kesel	-3
memakan memori mulu	-2
gagal total banget	-3
banyak iklan doang	-4
terblokir fatal	-5
tidak ada masa depan mulu	-2
crash terus fatal	-5
seram dan bikin kesel	-1
force close banget	-1
terhambat bikin emosi	-4
membingungkan ngeselin	-1
berakhir doang	-1
parah ngeselin	-4
tidak responsif layar parah	-5
ancaman banget	-1
terputus-putus mulu	-4
iklan menyesatkan dan bikin kesel	-1
meremehkan terus	-5
tidak variatif banget	-5
tidak stabil fatal	-5
bencana mulu	-4
tidak berguna dan bikin kesel	-5
pilihan terbatas banget	-4
stuck dan bikin kesel	-3
tidak ramah banget	-2
tidak bisa save banget	-1
pemborosan fatal	-2
lemot banget	-4
gema fatal	-1
spekulatif ngeselin	-1
risiko dan bikin kesel	-4
merepotkan doang	-3
pixelated mulu	-2
gelap doang	-1
ngadat fatal	-2
trouble bikin emosi	-5
terlalu kompleks bikin emosi	-5
terpuruk fatal	-2
bikin marah terus	-2
tidak support terus	-4
petaka mulu	-3
paling buruk fatal	-2
tidak puas dan bikin kesel	-1
laggy fatal	-2
bikin bingung mulu	-2
tidak percaya mulu	-5
tidak ramah terus	-1
darurat bikin emosi	-1
macet parah	-1
terbuka terus	-4
rumit bikin emosi	-5
tidak signifikan fatal	-2
tidak akurat bikin emosi	-3
tidak ada masa depan dan bikin kesel	-3
darurat parah	-4
korup parah	-4
bikin pusing mulu	-2
tidak konsisten doang	-5
tragis terus	-2
tidak up to date doang	-3
berhenti tiba-tiba dan bikin kesel	-5
kiamat terus	-1
kiamat doang	-1
rusak bikin emosi	-4
tidak signifikan parah	-5
tidak bisa ditutup mulu	-2
mengecewakan banget	-1
file rusak banget	-3
gagal login bikin emosi	-4
tutup fatal	-5
privasi terancam parah	-4
tidak ada janji dan bikin kesel	-5
buang-buang uang dan bikin kesel	-1
berhenti tiba-tiba parah	-2
tanpa solusi mulu	-1
tidak aman mulu	-4
kurang estetis terus	-2
tidak konsisten ngeselin	-4
macet doang	-2
pilihan terbatas ngeselin	-2
tidak tertata terus	-1
sembunyi-sembunyi fatal	-3
terlalu kompleks mulu	-3
menakutkan dan bikin kesel	-3
membosankan fatal	-4
ricuh bikin emosi	-4
tidak support banget	-1
kedaluwarsa dan bikin kesel	-2
terblokir terus	-5
curiga banget	-4
petaka dan bikin kesel	-5
berbelit-belit parah	-2
rendah ngeselin	-5
tragedi dan bikin kesel	-5
rentan virus terus	-3
tidak cocok dan bikin kesel	-5
terputus-putus dan bikin kesel	-3
boros kuota banget	-2
ngadat bikin emosi	-1
freezing doang	-2
tragis fatal	-5
spekulatif bikin emosi	-5
melanggar terus	-2
busuk banget	-5
samar banget	-4
sangat jelek ngeselin	-4
tidak sah terus	-2
brutal doang	-2
sembunyi-sembunyi terus	-2
tidak bermanfaat bikin emosi	-3
gagal sinkron mulu	-4
tragedi mulu	-5
tidak bisa diakses banget	-3
berantakan parah	-5
jadul doang	-4
spekulatif mulu	-4
terbatas fatal	-5
sangat jelek fatal	-2
putus parah	-5
force close bikin emosi	-1
penuh celah doang	-5
bocor terus	-2
salah otorisasi mulu	-2
tidak stabil banget	-1
kualitas rendah fatal	-3
berani banget	-1
tidak estetis bikin emosi	-2
tidak terbaca banget	-3
memusingkan parah	-1
illegal fatal	-2
lemot fatal	-1
tidak produktif ngeselin	-5
kecelakaan fatal	-2
tidak ada janji mulu	-4
fitur kosong fatal	-2
menyedihkan parah	-5
negatif ngeselin	-5
jelek bikin emosi	-1
menyepelekan bikin emosi	-1
kurang relevan dan bikin kesel	-1
restart sendiri fatal	-3
ambigu doang	-5
tidak etis dan bikin kesel	-2
gagal sinkron dan bikin kesel	-5
membebani dan bikin kesel	-2
error terus ngeselin	-5
tidak akurat dan bikin kesel	-3
krisis terus	-3
privasi terancam mulu	-1
berhenti tiba-tiba fatal	-2
kaku doang	-3
tidak ada respon mulu	-5
restart sendiri mulu	-2
terhenti mulu	-1
menyebalkan ngeselin	-2
keputusasaan dan bikin kesel	-1
malah mempersulit fatal	-5
bikin marah dan bikin kesel	-3
data bocor ngeselin	-2
mengecewakan parah	-5
tidak sesuai bikin emosi	-4
tidak jujur dan bikin kesel	-2
ketinggalan terus	-5
tidak sesuai dan bikin kesel	-2
tidak direspon mulu	-2
banyak masalah ngeselin	-2
tidak sepadan ngeselin	-4
palsu mulu	-5
merugikan terus	-3
tidak diizinkan terus	-3
tidak siap ngeselin	-2
bikin kesel ngeselin	-2
sembarangan terus	-2
rentan virus dan bikin kesel	-3
seram doang	-3
ngeri dan bikin kesel	-3
pemborosan mulu	-5
lapuk doang	-5
kedaluwarsa parah	-4
trouble koneksi ngeselin	-5
abai mulu	-4
terpuruk ngeselin	-3
terdistraksi terus	-1
pesan error dan bikin kesel	-4
pengembang cuek doang	-5
terbuka bikin emosi	-1
malapetaka fatal	-2
suram doang	-1
tidak teratur parah	-4
tidak berhubungan banget	-2
berbahaya bikin emosi	-4
terblokir parah	-3
layanan buruk banget	-3
boros kuota bikin emosi	-5
berakhir banget	-3
memusingkan terus	-2
mundur fatal	-5
kehampaan mulu	-5
korup bikin emosi	-2
membuang daya banget	-1
rusak banget	-3
tidak ada isinya dan bikin kesel	-4
tidak peka banget	-1
berisik terus	-1
peringatan merah fatal	-1
kontras buruk fatal	-3
berbahaya dan bikin kesel	-4
penipu mulu	-5
memecah perhatian bikin emosi	-5
mengabaikan dan bikin kesel	-4
data hilang ngeselin	-5
lapuk mulu	-4
tidak valid fatal	-4
konten minim bikin emosi	-5
kabur mulu	-4
penghamburan banget	-1
tidak presisi ngeselin	-4
murahan bikin emosi	-5
ribet doang	-3
sembarangan parah	-3
tidak efektif bikin emosi	-3
sia-sia terus	-5
warna pudar dan bikin kesel	-2
ngadat mulu	-4
tidak layak doang	-5
tidak bisa diakses dan bikin kesel	-5
crash mendadak dan bikin kesel	-5
rapuh dan bikin kesel	-5
terputus parah	-5
mental parah	-3
menguras dan bikin kesel	-1
rapuh bikin emosi	-4
ikon membingungkan terus	-3
tidak ada respon dan bikin kesel	-2
terekspos ngeselin	-4
tidak user-friendly banget	-5
menyedihkan dan bikin kesel	-3
bangkrut fatal	-5
belum matang mulu	-1
gambar pecah mulu	-4
brutal ngeselin	-3
tidak intuitif mulu	-3
berpotensi bahaya dan bikin kesel	-2
selesai bikin emosi	-5
tidak kompatibel parah	-4
tidak intuitif doang	-2
risiko doang	-3
mencurigakan doang	-4
tidak berhubungan ngeselin	-3
tidak bermoral banget	-3
menyesal ngeselin	-4
buruk rupa banget	-1
darurat doang	-4
trouble doang	-3
tidak patut bikin emosi	-5
lemah ngeselin	-3
tidak bermanfaat parah	-4
dibatasi parah	-1
dukungan buruk doang	-2
dukungan buruk parah	-5
terblokir doang	-3
tragis dan bikin kesel	-4
sering down ngeselin	-1
tidak peduli mulu	-4
masalah berlarut doang	-5
iklan menyesatkan ngeselin	-3
freezing ngeselin	-2
tidak otomatis fatal	-1
tidak terbaca ngeselin	-2
tidak ada masa depan terus	-5
memilukan banget	-5
acak-acakan fatal	-4
pilihan terbatas mulu	-2
tidak responsif parah	-1
bangkrut terus	-4
file rusak mulu	-2
menakutkan ngeselin	-4
boros kuota mulu	-5
kiamat fatal	-2
kehancuran parah	-5
boros baterai fatal	-2
privasi terancam dan bikin kesel	-1
tidak didengar mulu	-2
sering down mulu	-2
penipuan parah	-2
pixelated terus	-2
penghamburan mulu	-2
mengancam dan bikin kesel	-5
horor parah	-4
nge-freeze banget	-2
tidak tertata fatal	-5
mengabaikan fatal	-4
merugikan fatal	-5
menjengkelkan fatal	-3
gagal login ngeselin	-2
hancur doang	-3
hilang data ngeselin	-2
mahal bikin emosi	-3
menyusahkan doang	-1
kabur terus	-2
tidak bermanfaat terus	-1
berbahaya doang	-3
memecah perhatian banget	-2
membingungkan banget	-5
gagal sinkron ngeselin	-2
tidak jelas mulu	-2
tidak stabil parah	-5
mati total bikin emosi	-4
tidak pantas doang	-1
penuh bug banget	-3
tidak bermanfaat doang	-1
tidak produktif dan bikin kesel	-2
tidak bisa diandalkan doang	-1
selesai parah	-2
tidak jujur bikin emosi	-5
tidak berguna banget	-3
meremehkan doang	-2
tidak peduli fatal	-1
tidak maksimal parah	-1
kurang estetis bikin emosi	-2
tidak ada dukungan banget	-3
tidak pantas ngeselin	-5
terganggu bikin emosi	-5
tidak efisien fatal	-5
mundur doang	-4
tidak terhubung banget	-5
macet banget	-2
tidak sync bikin emosi	-1
spekulatif banget	-4
dukungan buruk ngeselin	-1
melanggar bikin emosi	-1
tidak terlindungi bikin emosi	-1
terhambat banget	-1
menguras baterai doang	-2
rumit banget	-3
tidak aman terus	-1
pesan error doang	-5
tidak ada suara doang	-1
tidak intuitif parah	-1
menjengkelkan mulu	-1
tidak fokus ngeselin	-5
pesimis banget	-5
bikin kesel terus	-3
masalah berlarut dan bikin kesel	-3
bencana banget	-3
memilukan terus	-5
usang dan bikin kesel	-4
keluar topik ngeselin	-5
gagal fatal	-3
mati total mulu	-4
gagal mulu	-4
force close ngeselin	-5
keraguan doang	-3
berat parah	-5
sembarangan ngeselin	-5
menyesatkan banget	-4
tidak terhubung terus	-2
tidak transparan mulu	-4
berpotensi bahaya bikin emosi	-3
tidak bermanfaat mulu	-2
tidak penting terus	-5
putus dan bikin kesel	-5
error kode bikin emosi	-2
belum sempurna banget	-5
terbuka mulu	-4
melenceng banget	-5
penanganan buruk banget	-5
tidak sistematis ngeselin	-4
fitur kosong parah	-4
curiga parah	-2
respon lambat doang	-5
rentan virus mulu	-1
interupsi fatal	-3
pengembang cuek mulu	-5
belum sempurna bikin emosi	-5
gulung tikar ngeselin	-5
terenkripsi ngeselin	-4
fitur kosong mulu	-5
laggy dan bikin kesel	-4
menguras kuota ngeselin	-1
pesimis ngeselin	-3
buruk mulu	-1
tidak direspon dan bikin kesel	-5
tidak ada bantuan dan bikin kesel	-5
force close parah	-3
file rusak fatal	-3
tidak menarik ngeselin	-5
suara serak parah	-3
fitur kosong doang	-3
beku parah	-2
tidak ada update terus	-2
banyak iklan mulu	-4
merepotkan banget	-1
servis buruk mulu	-4
terlalu kompleks parah	-3
pesimis parah	-4
regret mulu	-1
tidak jelas doang	-4
tidak intuitif bikin emosi	-5
melanggar doang	-2
korup fatal	-4
tidak tertata mulu	-1
tanpa arahan mulu	-3
tidak ada bantuan parah	-3
bikin bingung parah	-1
tidak logis bikin emosi	-1
kuno bikin emosi	-3
berat mulu	-5
kecelakaan ngeselin	-5
terdistraksi dan bikin kesel	-4
selesai doang	-4
tidak responsif layar fatal	-5
bad UX dan bikin kesel	-1
tidak direspon banget	-3
suara serak terus	-2
membuang daya doang	-2
servis buruk bikin emosi	-3
tidak adaptif bikin emosi	-3
tidak tentu fatal	-4
tidak kompatibel ngeselin	-3
tidak responsif mulu	-4
tidak ramah bikin emosi	-5
kiamat dan bikin kesel	-2
terburuk mulu	-4
tidak penting bikin emosi	-3
penipuan doang	-2
tidak peka bikin emosi	-5
mahal dan bikin kesel	-4
crash terus terus	-2
gagal banget	-4
lapuk dan bikin kesel	-5
mengerikan parah	-4
mengganggu fokus mulu	-1
mudah diserang ngeselin	-2
buruk doang	-3
menyepelekan doang	-1
penuh bug fatal	-1
rentan virus fatal	-5
tidak didengar banget	-2
tidak kompatibel mulu	-2
terkunci fatal	-1
menyebalkan banget	-5
penuh bug ngeselin	-3
restart sendiri doang	-2
tidak manusiawi parah	-1
izin kurang parah	-2
rumit mulu	-5
tidak ada isinya ngeselin	-1
terganggu parah	-5
tidak sync fatal	-3
tidak bisa dicari doang	-5
konten minim banget	-1
kacau ngeselin	-1
terblokir ngeselin	-1
redup banget	-2
bikin bingung terus	-2
gema terus	-2
melanggar ngeselin	-2
neraka fatal	-4
tidak valid parah	-5
terhambat ngeselin	-4
tidak bisa diunduh terus	-1
gulung tikar mulu	-2
bangkrut ngeselin	-4
terhenti banget	-3
tidak recommended dan bikin kesel	-5
tidak konsentrasi terus	-4
tidak adaptif parah	-5
menyedihkan ngeselin	-2
kurang jelas terus	-5
jelek ngeselin	-4
menyepelekan banget	-5
paling buruk terus	-2
mengecewakan ngeselin	-1
tragis mulu	-5
tampilan kuno doang	-2
berakhir ngeselin	-5
gema bikin emosi	-1
lambat doang	-2
tidak transparan fatal	-3
buram doang	-4
tidak adil bikin emosi	-2
kusam mulu	-2
force close terus	-1
menjengkelkan banget	-5
kusam banget	-5
pixelated parah	-5
kualitas rendah banget	-2
kusam doang	-5
hang mulu	-3
error kode fatal	-5
tidak diindahkan bikin emosi	-2
susah diatur ngeselin	-4
menipu parah	-3
tidak terhubung bikin emosi	-1
tidak didengar doang	-4
buang-buang uang fatal	-1
berpotensi bahaya mulu	-5
kerusakan banget	-5
outdated banget	-3
tidak berfungsi fatal	-5
terburuk fatal	-3
jadul banget	-1
melanggar dan bikin kesel	-3
samar mulu	-5
trouble ngeselin	-3
kompleks ngeselin	-3
illegal bikin emosi	-1
menjengkelkan dan bikin kesel	-1
interupsi parah	-5
bocor doang	-5
berpotensi bahaya parah	-2
tidak stabil mulu	-5
tidak ada bantuan banget	-2
kedaluwarsa fatal	-5
cacat mulu	-5
kuno ngeselin	-5
palsu fatal	-5
tidak bisa diubah banget	-1
banyak masalah dan bikin kesel	-2
crash terus banget	-5
menyepelekan ngeselin	-5
ngadat terus	-4
tidak transparan dan bikin kesel	-3
tidak responsif layar banget	-2
belum matang terus	-4
tidak efektif ngeselin	-3
tidak bisa ditutup parah	-4
banyak iklan banget	-3
gambar pecah parah	-2
pesan error parah	-1
mengecewakan fatal	-5
penipu bikin emosi	-3
boros kuota doang	-2
menguras fatal	-5
bahaya doang	-3
tidak manusiawi dan bikin kesel	-2
tidak pantas parah	-5
tidak bisa dihapus doang	-1
lambat ngeselin	-2
berakhir parah	-2
gaduh ngeselin	-3
font aneh banget	-4
tidak transparan doang	-4
pilihan terbatas doang	-1
tiruan mulu	-5
layanan buruk ngeselin	-3
mengancam banget	-4
kuno terus	-4
suara serak bikin emosi	-2
gagal inisialisasi mulu	-3
menguras baterai banget	-1
gagal inisialisasi parah	-3
buruk banget	-5
terputus-putus parah	-2
macet ngeselin	-3
kejam banget	-1
mental mulu	-3
stuck bikin emosi	-2
mental terus	-3
file rusak terus	-5
gagal login terus	-3
keliru fatal	-5
tidak sah banget	-1
gambar pecah doang	-1
risiko ngeselin	-2
menipu terus	-1
tidak optimis bikin emosi	-1
menyesal terus	-1
tidak peka doang	-2
risiko fatal	-3
illegal parah	-1
tampilan kuno dan bikin kesel	-5
berisik bikin emosi	-3
spam terus	-3
memilukan dan bikin kesel	-4
suara serak mulu	-2
warna pudar ngeselin	-3
berisik doang	-2
terbelakang fatal	-4
tidak terdeteksi parah	-1
rawan ngeselin	-4
tidak sync doang	-2
tidak layak parah	-5
jelek terus	-5
tiruan ngeselin	-2
produk cacat parah	-1
fitur berbayar tersembunyi ngeselin	-4
tertinggal terus	-3
tidak akurat doang	-5
peringatan merah doang	-4
tidak ada update mulu	-4
suram banget	-5
sembarangan dan bikin kesel	-2
tidak didengar ngeselin	-1
belum matang dan bikin kesel	-1
trouble koneksi terus	-4
gagal sinkron terus	-1
mengenaskan parah	-1
sangat jelek doang	-3
malapetaka dan bikin kesel	-4
tidak ada bantuan bikin emosi	-3
busuk terus	-5
tidak bisa dicari ngeselin	-3
tidak otomatis parah	-3
mengabaikan terus	-3
basi ngeselin	-1
lemot terus	-2
melanggar banget	-2
kehancuran doang	-4
warna tabrakan terus	-4
menyebalkan terus	-2
bikin marah fatal	-5
stuck doang	-2
pesimis dan bikin kesel	-5
penipu doang	-5
keliru mulu	-2
terbatas doang	-5
tidak jelas bikin emosi	-5
melanggar hukum bikin emosi	-4
beku banget	-3
tidak ada respon ngeselin	-1
tanpa arahan doang	-5
tidak intuitif dan bikin kesel	-2
tidak signifikan doang	-1
tidak diindahkan dan bikin kesel	-1
membuang waktu doang	-4
kosong bikin emosi	-1
paling buruk parah	-1
merugikan bikin emosi	-1
tidak valid mulu	-4
ketinggalan fatal	-3
musibah ngeselin	-2
tidak produktif fatal	-1
terganggu dan bikin kesel	-4
brutal bikin emosi	-2
sering logout terus	-3
sangat jelek bikin emosi	-2
tidak terbaca parah	-5
tidak sesuai banget	-3
tidak percaya terus	-5
rapuh doang	-4
tidak up to date ngeselin	-5
mengecewakan doang	-1
tidak adil parah	-1
tidak sepadan parah	-3
kompleks banget	-1
tidak efisien doang	-1
ringkih parah	-1
tidak ramah dan bikin kesel	-1
kejam parah	-5
kompleks doang	-1
tidak stabil ngeselin	-3
tidak berfungsi dan bikin kesel	-5
mengganggu dan bikin kesel	-5
jelek doang	-3
tidak diizinkan dan bikin kesel	-3
terputus mulu	-3
tidak jalan parah	-4
tidak bisa diunduh doang	-5
tidak ada update ngeselin	-5
tidak logis mulu	-1
berubah-ubah fatal	-3
menyedihkan bikin emosi	-1
terekspos terus	-3
tragis bikin emosi	-5
hancur banget	-2
keliru banget	-2
tidak sesuai parah	-1
acak-acakan dan bikin kesel	-5
bahaya terus	-2
negatif doang	-3
fitur dicabut bikin emosi	-5
menipu doang	-5
izin kurang bikin emosi	-1
menyedihkan banget	-1
produk cacat banget	-1
kompleks mulu	-4
melenceng doang	-3
brutal dan bikin kesel	-2
ricuh banget	-5
keraguan bikin emosi	-2
menakutkan mulu	-2
membingungkan dan bikin kesel	-3
tidak didengar fatal	-3
sering down parah	-4
tidak berguna parah	-1
kacau terus	-5
kadaluarsa fatal	-4
penyelesaian sulit banget	-4
blur fatal	-4
berubah-ubah terus	-4
tidak fokus fatal	-1
curiga bikin emosi	-1
malapetaka banget	-4
berat banget	-3
kusam parah	-3
kurang fitur parah	-1
menguras ngeselin	-3
suram fatal	-5
tidak responsif bikin emosi	-4
penghamburan terus	-3
berantakan terus	-1
banyak masalah terus	-1
membebani fatal	-3
mengganggu fokus fatal	-4
pesan error ngeselin	-2
peringatan merah terus	-2
korup mulu	-1
dibatasi bikin emosi	-3
tidak ada perbaikan banget	-5
ringkih dan bikin kesel	-5
bobrok fatal	-2
mengabaikan mulu	-3
tidak support fatal	-5
sulit dipakai dan bikin kesel	-4
crash terus dan bikin kesel	-3
tidak bisa ditutup terus	-1
gelap parah	-3
warna pudar bikin emosi	-4
trouble terus	-1
mengerikan fatal	-1
gagal inisialisasi banget	-5
kontras buruk banget	-2
tidak patut parah	-3
pesimis bikin emosi	-1
terpuruk banget	-4
tiruan terus	-1
terpuruk parah	-3
terbatas terus	-2
tidak didengar terus	-2
penanganan buruk doang	-3
tidak recommended terus	-5
terbuka banget	-4
bahaya parah	-5
hilang data mulu	-2
horor fatal	-2
membingungkan bikin emosi	-5
belum matang fatal	-5
menyayat hati ngeselin	-2
memakan memori ngeselin	-2
tidak jernih banget	-2
buruk terus	-1
mengganggu fokus parah	-2
gagal inisialisasi terus	-3
korup terus	-1
jadul parah	-5
tanpa arahan parah	-3
bocor mulu	-1
membebani ngeselin	-5
tampilan kuno mulu	-1
terlalu kompleks banget	-1
tragis doang	-2
tidak stabil doang	-3
tidak lengkap terus	-5
terkunci banget	-4
tidak ada dukungan parah	-1
banyak iklan terus	-4
malah mempersulit bikin emosi	-3
crash mendadak fatal	-5
macet mulu	-3
tidak akurat terus	-4
berakhir mulu	-1
darurat fatal	-5
kalah banget	-5
belum sempurna parah	-4
redup doang	-3
hilang data bikin emosi	-1
jelek mulu	-4
lemot doang	-2
tidak valid bikin emosi	-2
rumit doang	-5
rusak fatal	-4
menyusahkan parah	-1
menyusahkan fatal	-3
tidak terlindungi banget	-4
tidak berguna mulu	-5
tidak berfungsi doang	-2
tidak tentu dan bikin kesel	-3
tidak ada masa depan parah	-1
risiko banget	-2
malah mempersulit mulu	-5
terbuka parah	-1
tidak tentu mulu	-5
busuk fatal	-5
tanpa solusi fatal	-4
tidak diindahkan parah	-4
kacau fatal	-1
keluar topik terus	-4
kumuh doang	-1
tidak maksimal banget	-3
kurang fitur mulu	-5
gulung tikar dan bikin kesel	-5
abai ngeselin	-1
sembunyi-sembunyi doang	-1
sembunyi-sembunyi ngeselin	-4
menyeramkan parah	-2
bising bikin emosi	-3
gangguan parah	-4
tiruan banget	-2
tidak user-friendly terus	-2
gagal sinkron doang	-3
servis buruk terus	-1
menyepelekan dan bikin kesel	-3
masalah berlarut parah	-2
tidak jujur doang	-5
membosankan doang	-5
berat terus	-4
bising banget	-5
menyesatkan parah	-5
neraka ngeselin	-1
krisis mulu	-5
ngadat dan bikin kesel	-5
penipuan banget	-2
bad UX bikin emosi	-5
tidak diizinkan ngeselin	-5
hang bikin emosi	-1
terlalu kompleks dan bikin kesel	-1
prasangka banget	-4
font aneh parah	-5
krisis banget	-2
tidak pasti doang	-1
